Domain Name                                                      	Current Bid 	Join By Date (ET)	Join By Date (PT)	Bidders 	Seller         	TLD     	Length	Words                                                                           	Word Count	Categories                                                                                                      	Hyphens 	Numbers 	Auction Type
homerepairs.net                                                  	         -- 	               --	               --	7       	Private Seller 	.net    	    11	                                                                                	          	                                                                                                                	No      	No      	Make Offer
nsf.net                                                          	       2988 	 12/18/2015 15:15	 12/18/2015 12:15	3       	Private Seller 	.net    	     3	                                                                                	          	                                                                                                                	No      	No      	In Auction
333z.com                                                         	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	MyDomain.com (R	.com    	     4	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
832263.com                                                       	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	JapanReg       	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
8860688.com                                                      	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	Directi(R)     	.com    	     7	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
cjdw.net                                                         	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
gsml.net                                                         	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
radosvet.net                                                     	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	Directi(R)     	.net    	     8	                                                                                	          	                                                                                                                	No      	No      	Available Soon
rbln.net                                                         	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	JapanReg       	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
verticalsearches.com                                             	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	Moniker(R)     	.com    	    16	vertical searches                                                               	          	                                                                                                                	No      	No      	Available Soon
zqsp.net                                                         	         69 	 12/16/2015 00:00	 12/15/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
0773.biz                                                         	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	Directi(R)     	.biz    	     4	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
585519.com                                                       	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.com    	     6	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
61131.net                                                        	         69 	 12/17/2015 00:00	 12/16/2015 21:00	        	JapanReg       	.net    	     5	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
